time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.659825383618221e-08,1.8003720303646353e-06,0.004305963094172572,0.0010972648394087514,6.2829890983474215,0.0,1.280998874304769e-05,0.0001346472192630847,0.14352410380418495,0.04091330587942893,-0.010779128383472458,0.0,451.63347258543473,450.7634589567968,448.1368790643424,451.4496712137886
0.12000000000000001,7.906911459309933e-06,4.589645710776246e-05,0.01725011446628072,0.004690537471569556,6.282086690892108,0.0,0.00032972034311436974,0.0016796280074680716,0.2879207490444968,0.08303826590858689,-0.02532481018597753,0.0,451.9982325011976,450.82475544266003,448.4836129950191,451.8936600404049
0.18,5.8110789144693145e-05,0.00027157195241782795,0.03884134658016858,0.01065237427901966,6.280370849500001,0.0,0.001518148898079494,0.00644898619934593,0.43173871302697364,0.12037776607630682,-0.036110734453205666,0.0,451.96484748680814,451.0946106463202,448.35441205053974,451.38511218124637
0.23999999999999996,0.0002198699066708113,0.0009232325281477642,0.06904272462225226,0.01881598589681399,6.27788601997044,0.0,0.004122534537392093,0.01611804094229956,0.5749000368533146,0.15651582533115607,-0.05498510812903548,0.0,452.22093670336824,450.69728544336283,448.31728562374195,451.2595260792429
0.3,0.000596925754802625,0.0023423230889131935,0.10780500469968675,0.029040417589257572,6.274312894663343,0.0,0.00881533264129253,0.03225466148301377,0.7170707099781006,0.18923704500982072,-0.07075336787823341,0.0,452.30656050122167,451.032524279364,447.99853253355445,450.6773401974256
0.36000000000000004,0.0013378121802982365,0.004961999165960912,0.15509833584307403,0.04125792207014989,6.269767808274192,0.0,0.016353172457421662,0.05635067948030366,0.859229093169179,0.22291265413483924,-0.08830902508599378,0.0,452.6136307553767,451.1941503327701,448.2286342819406,450.99554647499804
0.4200000000000001,0.002634642842410687,0.009302504779631111,0.21088684966029028,0.05554664947027721,6.2642199845449404,0.0,0.02745774129142432,0.08983329911889536,1.0001951754424792,0.25819201611237164,-0.10242724222970231,0.0,452.31328363690585,451.1678139093533,448.28469559558425,451.19605716801976
0.48000000000000015,0.004722078167123166,0.015971519006534138,0.27508188174908665,0.07212346009505932,6.25793349859666,0.0,0.042791594148728566,0.1342016532661941,1.1393865910640695,0.298711525071774,-0.10993536199589286,0.0,451.8205830779832,451.20548946286,448.1198875659529,451.47470406780997
0.5400000000000001,0.007868428329339787,0.02567245886112884,0.3475823577313276,0.09104067266146743,6.251166724919434,0.0,0.06280280561217459,0.19114370759591578,1.2769693366309132,0.33648167609449364,-0.11917352495984744,0.0,452.16656465728045,451.410654554688,448.15272209614864,451.30946801859767
0.6000000000000002,0.012364198767869582,0.03920658212831203,0.42825622329937474,0.11223426248768753,6.243789854971368,0.0,0.0878310261500824,0.2622041161064884,1.411745114245089,0.3745577293513785,-0.13182093006492718,0.0,452.1864540321194,451.1530040206966,448.05241801770694,451.2607149821666
0.6600000000000003,0.01852408768689137,0.05746824181713474,0.5169246949047426,0.13582135623294622,6.23560967686052,0.0,0.11835288187060687,0.3489620014859639,1.5433490057331365,0.415901711891064,-0.14737016978984566,0.0,452.08220844345965,450.81059747954083,448.11513663831954,451.61694307751026
0.7200000000000003,0.026694617086506278,0.08144576776369103,0.6133659116554777,0.16170317991492755,6.2264415800291815,0.0,0.15494904036968996,0.4529566846874799,1.6707091036039299,0.45158697609043524,-0.16679102313584973,0.0,452.1482964906939,450.5590727672933,448.234384234195,451.312610612658
0.7800000000000004,0.03726392111424279,0.11222230899997857,0.7173399023177663,0.18959362713426664,6.216131609482892,0.0,0.19843142405722353,0.5757827640852271,1.7942930041883267,0.483026637259723,-0.18451813117582141,0.0,452.6352563171498,451.17829261290785,448.52166543383856,451.2874947116341
0.8400000000000004,0.05066622818138903,0.1509573009888724,0.8285527789201211,0.21952840602711365,6.204726473534166,0.0,0.2494889063202469,0.7184030252539706,1.9118392633827714,0.519496468923133,-0.2045394624127206,0.0,452.6262087662945,450.97709873082624,448.339169861691,451.54558730441977
0.9000000000000005,0.06737952021577134,0.1988752457842506,0.9466190007690123,0.2515776456360541,6.192270279630041,0.0,0.30891054642254356,0.8820474461230817,2.02254323813502,0.5536452010809004,-0.21455492015394378,0.0,452.3098532674233,451.46080667794257,448.5269498479153,451.5835360121732
0.9600000000000005,0.08792153308873878,0.2572630133913583,1.0710637729728258,0.28553449022532895,6.17910581956192,0.0,0.3771670872049258,1.067524186118156,2.1242508241916296,0.5831834471386619,-0.23147888566732588,0.0,452.4736126677591,451.06190025833456,448.50213166871123,451.22460997407336
1.0200000000000005,0.11283454248470569,0.3274485188642209,1.20129163049565,0.32113435081212316,6.164829445543351,0.0,0.45470255864688686,1.2753819548793772,2.215089728623518,0.6082873611721407,-0.2557280697504195,0.0,452.36718711191514,450.3538392118464,448.48851484801435,450.8873325624673
1.0800000000000005,0.14270298343880033,0.4108025403976429,1.3366536997693748,0.35823801133152244,6.149139388252738,0.0,0.542481648262893,1.5065153316771953,2.295141686639728,0.6333029617635935,-0.27666999340610304,0.0,452.2990688251514,450.5408405129768,448.9160110916812,451.3375590968566
1.1400000000000006,0.1781640453354955,0.5087212401238996,1.4764306563709249,0.3968872800646457,6.132306459615059,0.0,0.6412256114834822,1.7608846974025931,2.361987198484875,0.6598738620903446,-0.2897003889873008,0.0,452.28259614263146,451.15321312373646,448.5919796737358,451.17502498567734
